"","text","cleaned_text","hashtag","tagged_account"
"341",".@60Minutes did a phony story about child separation when they know we had the exact same policy as the Obama Administration. In fact a picture of children in jails was used by other Fake Media to show how bad (cruel) we are but it was in 2014 during O years. Obama separated...."," did a phony story about child separation when they know we had the exact same policy as the Obama Administration In fact a picture of children in jails was used by other Fake Media to show how bad cruel we are but it was in 2014 during O years Obama separated","","@60Minutes"
"342","Clinton Foundation donations drop 42% - which shows that they illegally played the power game. They monetized their political influence through the Foundation. “During her tenure the State Department was put in the service of the Clinton Foundation.”  Andrew McCarthy","Clinton Foundation donations drop 42  which shows that they illegally played the power game They monetized their political influence through the Foundation During her tenure the State Department was put in the service of the Clinton Foundation  Andrew McCarthy","",""
"343","Europe has to pay their fair share for Military Protection. The European Union for many years has taken advantage of us on Trade and then they don’t live up to their Military commitment through NATO. Things must change fast!","Europe has to pay their fair share for Military Protection The European Union for many years has taken advantage of us on Trade and then they dont live up to their Military commitment through NATO Things must change fast","",""
"344","General Anthony Tata: “President Trump is a man of his word &amp; he said he was going to be tough on the Border and he is tough on the Border. He has rightfully strengthened the Border in the face of an unprecedented threat. It’s the right move by President Trump.” Thanks General!","General Anthony Tata President Trump is a man of his word amp he said he was going to be tough on the Border and he is tough on the Border He has rightfully strengthened the Border in the face of an unprecedented threat Its the right move by President Trump Thanks General","",""
"345","Mississippi Vote for @cindyhydesmith on Tuesday. Respected by all. We need her in Washington!. Thanks!","Mississippi Vote for  on Tuesday Respected by all We need her in Washington Thanks","","@cindyhydesmith"
"346","So great that oil prices are falling (thank you President T). Add that which is like a big Tax Cut to our other good Economic news. Inflation down (are you listening Fed)!","So great that oil prices are falling thank you President T Add that which is like a big Tax Cut to our other good Economic news Inflation down are you listening Fed","",""
"347","Would be very SMART if Mexico would stop the Caravans long before they get to our Southern Border or if originating countries would not let them form (it is a way they get certain people out of their country and dump in U.S. No longer). Dems created this problem. No crossings!","Would be very SMART if Mexico would stop the Caravans long before they get to our Southern Border or if originating countries would not let them form it is a way they get certain people out of their country and dump in US No longer Dems created this problem No crossings","",""
"348","The large and violent French protests don’t take into account how badly the United States has been treated on Trade by the European Union or on fair and reasonable payments for our GREAT military protection. Both of these topics must be remedied soon.","The large and violent French protests dont take into account how badly the United States has been treated on Trade by the European Union or on fair and reasonable payments for our GREAT military protection Both of these topics must be remedied soon","",""
"349","I will be in Gulfport and Tupelo Mississippi on Monday night doing two Rallies for Senator Hyde-Smith who has a very important Election on Tuesday. She is an outstanding person who is strong on the Border Crime Military our great Vets Healthcare &amp; the 2nd A. Needed in D.C.","I will be in Gulfport and Tupelo Mississippi on Monday night doing two Rallies for Senator HydeSmith who has a very important Election on Tuesday She is an outstanding person who is strong on the Border Crime Military our great Vets Healthcare amp the 2nd A Needed in DC","",""
"350","Victor Davis Hanson was a very good and interesting guest of Mark Levin on @FoxNews. He wrote a highly touted book called “The Second World Wars” and a new book will soon be coming out called “The Case For Trump.” Recommend both. @marklevinshow","Victor Davis Hanson was a very good and interesting guest of Mark Levin on  He wrote a highly touted book called The Second World Wars and a new book will soon be coming out called The Case For Trump Recommend both ","","@FoxNews., @marklevinshow"
"351","....All will stay in Mexico. If for any reason it becomes necessary we will CLOSE our Southern Border. There is no way that the United States will after decades of abuse put up with this costly and dangerous situation anymore!","All will stay in Mexico If for any reason it becomes necessary we will CLOSE our Southern Border There is no way that the United States will after decades of abuse put up with this costly and dangerous situation anymore","",""
"352","Migrants at the Southern Border will not be allowed into the United States until their claims are individually approved in court. We only will allow those who come into our Country legally. Other than that our very strong policy is Catch and Detain. No “Releasing” into the U.S...","Migrants at the Southern Border will not be allowed into the United States until their claims are individually approved in court We only will allow those who come into our Country legally Other than that our very strong policy is Catch and Detain No Releasing into the US","",""
"353","RT @WhiteHouse: Small Business Saturday has become a staple of the post-Thanksgiving shopping weekend. ""This year Small Business Saturday…","RT  Small Business Saturday has become a staple of the postThanksgiving shopping weekend This year Small Business Saturday","","@WhiteHouse:"
"354","RT @realDonaldTrump: The Fake News is showing old footage of people climbing over our Ocean Area Fence. This is what it really looks like -…","RT  The Fake News is showing old footage of people climbing over our Ocean Area Fence This is what it really looks like ","","@realDonaldTrump:"
"355","I am extremely happy and proud of the job being done by @USTreasury Secretary @StevenMnuchin1. The FAKE NEWS likes to write stories to the contrary quoting phony sources or jealous people but they aren’t true. They never like to ask me for a quote b/c it would kill their story.","I am extremely happy and proud of the job being done by  Secretary  The FAKE NEWS likes to write stories to the contrary quoting phony sources or jealous people but they arent true They never like to ask me for a quote bc it would kill their story","","@USTreasury, @StevenMnuchin1."
"356","Really good Criminal Justice Reform has a true shot at major bipartisan support. @senatemajldr Mitch McConnell and @SenSchumer have a real chance to do something so badly needed in our country. Already passed with big vote in House. Would be a major victory for ALL!","Really good Criminal Justice Reform has a true shot at major bipartisan support  Mitch McConnell and  have a real chance to do something so badly needed in our country Already passed with big vote in House Would be a major victory for ALL","","@senatemajldr, @SenSchumer"
"357","Really good Criminal Justice Reform has a true shot at major bipartisan support. @senatemajldr Mitch McConnell and @senchuckschumer have a real chance to do something so badly needed in our country. Already past with big vote in House. Would be a major victory for ALL!","Really good Criminal Justice Reform has a true shot at major bipartisan support  Mitch McConnell and  have a real chance to do something so badly needed in our country Already past with big vote in House Would be a major victory for ALL","","@senatemajldr, @senchuckschumer"
"358","Republicans and Democrats MUST come together finally with a major Border Security package which will include funding for the Wall. After 40 years of talk it is finally time for action. Fix the Border for once and for all NOW!","Republicans and Democrats MUST come together finally with a major Border Security package which will include funding for the Wall After 40 years of talk it is finally time for action Fix the Border for once and for all NOW","",""
"359","Our highly trained security professionals are not allowed to do their job on the Border because of the Judicial Activism and Interference by the 9th Circuit. Nevertheless they are working hard to make America a safer place though hard to do when anybody filing a lawsuit wins!","Our highly trained security professionals are not allowed to do their job on the Border because of the Judicial Activism and Interference by the 9th Circuit Nevertheless they are working hard to make America a safer place though hard to do when anybody filing a lawsuit wins","",""
"360","This is the coldest weather in the history of the Thanksgiving Day Parade in NYC and one of the coldest Thanksgivings on record!","This is the coldest weather in the history of the Thanksgiving Day Parade in NYC and one of the coldest Thanksgivings on record","",""
"361","https://t.co/y4chCfEDke","","",""
"362","Will be speaking with our great military in different parts of the world through teleconference at 9:00 A.M. Eastern. Then it will be off to see our Coast Guard patriots &amp; to thank them for the great job they have been doing especially with the hurricanes. Happy Thanksgiving!","Will be speaking with our great military in different parts of the world through teleconference at 900 AM Eastern Then it will be off to see our Coast Guard patriots amp to thank them for the great job they have been doing especially with the hurricanes Happy Thanksgiving","",""
"363","....and Safety at the Border or anywhere else. They know nothing about it and are making our Country unsafe. Our great Law Enforcement professionals MUST BE ALLOWED TO DO THEIR JOB! If not there will be only bedlam chaos injury and death. We want the Constitution as written!","and Safety at the Border or anywhere else They know nothing about it and are making our Country unsafe Our great Law Enforcement professionals MUST BE ALLOWED TO DO THEIR JOB If not there will be only bedlam chaos injury and death We want the Constitution as written","",""
"364","Justice Roberts can say what he wants but the 9th Circuit is a complete &amp; total disaster. It is out of control has a horrible reputation is overturned more than any Circuit in the Country 79% &amp; is used to get an almost guaranteed result. Judges must not Legislate Security...","Justice Roberts can say what he wants but the 9th Circuit is a complete amp total disaster It is out of control has a horrible reputation is overturned more than any Circuit in the Country 79 amp is used to get an almost guaranteed result Judges must not Legislate Security","",""
"365","HAPPY THANKSGIVING TO ALL!","HAPPY THANKSGIVING TO ALL","",""
"366","“It’s a mean &amp; nasty world out there the Middle East in particular. This is a long and historic commitment &amp; one that is absolutely vital to America’s national security.” @SecPompeo  I agree 100%. In addition many Billions of Dollars of purchases made in U.S. big Jobs &amp; Oil!","Its a mean amp nasty world out there the Middle East in particular This is a long and historic commitment amp one that is absolutely vital to Americas national security   I agree 100 In addition many Billions of Dollars of purchases made in US big Jobs amp Oil","","@SecPompeo"
"367","You just can’t win with the Fake News Media. A big story today is that because I have pushed so hard and gotten Gasoline Prices so low more people are driving and I have caused traffic jams throughout our Great Nation. Sorry everyone!","You just cant win with the Fake News Media A big story today is that because I have pushed so hard and gotten Gasoline Prices so low more people are driving and I have caused traffic jams throughout our Great Nation Sorry everyone","",""
"368","Brutal and Extended Cold Blast could shatter ALL RECORDS - Whatever happened to Global Warming?","Brutal and Extended Cold Blast could shatter ALL RECORDS  Whatever happened to Global Warming","",""
"369","RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!","RT  MAKE AMERICA GREAT AGAIN","","@realDonaldTrump:"
"370","RT @realDonaldTrump: AMERICA FIRST!","RT  AMERICA FIRST","","@realDonaldTrump:"
"371","“79% of these decisions have been overturned in the 9th Circuit.” @FoxNews  A terrible costly and dangerous disgrace. It has become a dumping ground for certain lawyers looking for easy wins and delays. Much talk over dividing up the 9th Circuit into 2 or 3 Circuits. Too big!","79 of these decisions have been overturned in the 9th Circuit   A terrible costly and dangerous disgrace It has become a dumping ground for certain lawyers looking for easy wins and delays Much talk over dividing up the 9th Circuit into 2 or 3 Circuits Too big","","@FoxNews"
"372","There are a lot of CRIMINALS in the Caravan. We will stop them. Catch and Detain! Judicial Activism by people who know nothing about security and the safety of our citizens is putting our country in great danger. Not good!","There are a lot of CRIMINALS in the Caravan We will stop them Catch and Detain Judicial Activism by people who know nothing about security and the safety of our citizens is putting our country in great danger Not good","",""
"373","“Thank you to President Trump on the Border. No American President has ever done this before.” Hector Garza National Border Patrol Council","Thank you to President Trump on the Border No American President has ever done this before Hector Garza National Border Patrol Council","",""
"374",".....are so many opposing view (on Border and Safety) cases filed there and why are a vast number of those cases overturned. Please study the numbers they are shocking. We need protection and security - these rulings are making our country unsafe! Very dangerous and unwise!","are so many opposing view on Border and Safety cases filed there and why are a vast number of those cases overturned Please study the numbers they are shocking We need protection and security  these rulings are making our country unsafe Very dangerous and unwise","",""
"375","Sorry Chief Justice John Roberts but you do indeed have “Obama judges” and they have a much different point of view than the people who are charged with the safety of our country. It would be great if the 9th Circuit was indeed an “independent judiciary” but if it is why......","Sorry Chief Justice John Roberts but you do indeed have Obama judges and they have a much different point of view than the people who are charged with the safety of our country It would be great if the 9th Circuit was indeed an independent judiciary but if it is why","",""
"376","Great new book out “Mad Politics: Keeping Your Sanity in a World Gone Crazy” by @RealDrGina Loudon. Go out and get your copy today — a great read!","Great new book out Mad Politics Keeping Your Sanity in a World Gone Crazy by  Loudon Go out and get your copy today  a great read","","@RealDrGina"
"377","“‘Trump Imitation Syndrome’ is afflicting the president’s liberal enemies” Thank you @MGoodwin_NYPost! https://t.co/KpmsrKCaBZ","Trump Imitation Syndrome is afflicting the presidents liberal enemies Thank you  ","","@MGoodwin_NYPost!"
"378","MAKE AMERICA GREAT AGAIN!","MAKE AMERICA GREAT AGAIN","",""
"379","Oil prices getting lower. Great! Like a big Tax Cut for America and the World. Enjoy! $54 was just $82. Thank you to Saudi Arabia but let’s go lower!","Oil prices getting lower Great Like a big Tax Cut for America and the World Enjoy 54 was just 82 Thank you to Saudi Arabia but lets go lower","",""
"380","AMERICA FIRST!","AMERICA FIRST","",""
"381","So-called comedian Michelle Wolf bombed so badly last year at the White House Correspondents’ Dinner that this year for the first time in decades they will have an author instead of a comedian. Good first step in comeback of a dying evening and tradition! Maybe I will go?","Socalled comedian Michelle Wolf bombed so badly last year at the White House Correspondents Dinner that this year for the first time in decades they will have an author instead of a comedian Good first step in comeback of a dying evening and tradition Maybe I will go","",""
"382","RT @WhiteHouse: President @realDonaldTrump joined by @FLOTUS has officially pardoned this year's National Thanksgiving Turkey Peas—and h…","RT  President  joined by  has officially pardoned this years National Thanksgiving Turkey Peasand h","","@WhiteHouse:, @realDonaldTrump, @FLOTUS"
"383","I hope the discovery and eventual recovery of the Argentine submarine San Juan brings needed closure to the wonderful families of those brave missing sailors. I look forward to hearing more from my friend President @MauricioMacri in Argentina later this month.","I hope the discovery and eventual recovery of the Argentine submarine San Juan brings needed closure to the wonderful families of those brave missing sailors I look forward to hearing more from my friend President  in Argentina later this month","","@MauricioMacri"
"384","RT @FLOTUS: The @WhiteHouse is getting ready for the Christmas season! Thank you to the Smith Family &amp; the National Christmas Tree Associat…","RT  The  is getting ready for the Christmas season Thank you to the Smith Family amp the National Christmas Tree Associat","","@FLOTUS:, @WhiteHouse"
"385","RT @WhiteHouse: President Trump and the First Lady Participate in the White House Christmas Tree Delivery https://t.co/O6Nr8k1mnu","RT  President Trump and the First Lady Participate in the White House Christmas Tree Delivery ","","@WhiteHouse:"
"386","The Fake News is showing old footage of people climbing over our Ocean Area Fence. This is what it really looks like - no climbers anymore under our Administration! https://t.co/CD4ltRePML","The Fake News is showing old footage of people climbing over our Ocean Area Fence This is what it really looks like  no climbers anymore under our Administration ","",""
"387","....We no longer pay Pakistan the $Billions because they would take our money and do nothing for us Bin Laden being a prime example Afghanistan being another. They were just one of many countries that take from the United States without giving anything in return. That’s ENDING!","We no longer pay Pakistan the Billions because they would take our money and do nothing for us Bin Laden being a prime example Afghanistan being another They were just one of many countries that take from the United States without giving anything in return Thats ENDING","",""
"388","Of course we should have captured Osama Bin Laden long before we did. I pointed him out in my book just BEFORE the attack on the World Trade Center. President Clinton famously missed his shot. We paid Pakistan Billions of Dollars &amp; they never told us he was living there. Fools!..","Of course we should have captured Osama Bin Laden long before we did I pointed him out in my book just BEFORE the attack on the World Trade Center President Clinton famously missed his shot We paid Pakistan Billions of Dollars amp they never told us he was living there Fools","",""
"389","RT @realDonaldTrump: “Boom: Record high business optimism need for employees at 45-year high” https://t.co/jBFjEwAcfd","RT  Boom Record high business optimism need for employees at 45year high ","","@realDonaldTrump:"
"390",".@cindyhydesmith loves Mississippi and our Great U.S.A. https://t.co/hQPC4CrhDi"," loves Mississippi and our Great USA ","","@cindyhydesmith"
"391","RT @realDonaldTrump: I will be interviewed by Chris Wallace on @FoxNews at 2:00 P.M. and 7:00 P.M. Enjoy!","RT  I will be interviewed by Chris Wallace on  at 200 PM and 700 PM Enjoy","","@realDonaldTrump:, @FoxNews"
"392","From day one Rick Scott never wavered. He was a great Governor and will be even a greater Senator in representing the People of Florida. Congratulations to Rick on having waged such a courageous and successful campaign!","From day one Rick Scott never wavered He was a great Governor and will be even a greater Senator in representing the People of Florida Congratulations to Rick on having waged such a courageous and successful campaign","",""
"393","Catch and Release is an obsolete term. It is now Catch and Detain. Illegal Immigrants trying to come into the U.S.A. often proudly flying the flag of their nation as they ask for U.S. Asylum will be detained or turned away. Dems must approve Border Security &amp; Wall NOW!","Catch and Release is an obsolete term It is now Catch and Detain Illegal Immigrants trying to come into the USA often proudly flying the flag of their nation as they ask for US Asylum will be detained or turned away Dems must approve Border Security amp Wall NOW","",""
"394","RT @realDonaldTrump: I will be interviewed by Chris Wallace on @FoxNews at 2:00 P.M. and 7:00 P.M. Enjoy!","RT  I will be interviewed by Chris Wallace on  at 200 PM and 700 PM Enjoy","","@realDonaldTrump:, @FoxNews"
"395","The Mayor of Tijuana Mexico just stated that “the City is ill-prepared to handle this many migrants the backlog could last 6 months.” Likewise the U.S. is ill-prepared for this invasion and will not stand for it. They are causing crime and big problems in Mexico. Go home!","The Mayor of Tijuana Mexico just stated that the City is illprepared to handle this many migrants the backlog could last 6 months Likewise the US is illprepared for this invasion and will not stand for it They are causing crime and big problems in Mexico Go home","",""
"396","So funny to see little Adam Schitt (D-CA) talking about the fact that Acting Attorney General Matt Whitaker was not approved by the Senate but not mentioning the fact that Bob Mueller (who is highly conflicted) was not approved by the Senate!","So funny to see little Adam Schitt DCA talking about the fact that Acting Attorney General Matt Whitaker was not approved by the Senate but not mentioning the fact that Bob Mueller who is highly conflicted was not approved by the Senate","",""
"397","I will be interviewed by Chris Wallace on @FoxNews at 2:00 P.M. and 7:00 P.M. Enjoy!","I will be interviewed by Chris Wallace on  at 200 PM and 700 PM Enjoy","","@FoxNews"
"398","RT @FoxNewsSunday: Chris Wallace during his interview at the White House with President Trump. Check your local listings to watch this Sund…","RT  Chris Wallace during his interview at the White House with President Trump Check your local listings to watch this Sund","","@FoxNewsSunday:"
"399","Incredible to be with our GREAT HEROES today in California. We will always be with you! https://t.co/B1MCTF83Zf","Incredible to be with our GREAT HEROES today in California We will always be with you ","",""
"400","RT @WhiteHouse: President @realDonaldTrump is traveling to California to meet with those impacted by the devastating wildfires. Learn how t…","RT  President  is traveling to California to meet with those impacted by the devastating wildfires Learn how t","","@WhiteHouse:, @realDonaldTrump"
"401","Heading to California with @GOPLeader Kevin McCarthy @RepLaMalfa and @KenCalvert. Look forward to being with our brave Firefighters First Responders and @FEMA along with the many brave People of California. We are with you all the way – God Bless you all!","Heading to California with  Kevin McCarthy  and  Look forward to being with our brave Firefighters First Responders and  along with the many brave People of California We are with you all the way  God Bless you all","","@GOPLeader, @RepLaMalfa, @KenCalvert., @FEMA"
"402","....I can’t imagine any President having a better or closer relationship with their Vice President then the two of us. Just more FAKE NEWS the Enemy of the People!","I cant imagine any President having a better or closer relationship with their Vice President then the two of us Just more FAKE NEWS the Enemy of the People","",""
"403","The New York Times did a phony story as usual about my relationship with @VP Mike Pence. They made up sources and refused to ask me the only one that would know for a quote....","The New York Times did a phony story as usual about my relationship with  Mike Pence They made up sources and refused to ask me the only one that would know for a quote","","@VP"
"404","Congratulations to Andrew Gillum on having run a really tough and competitive race for Governor of the Great State of Florida. He will be a strong Democrat warrior long into the future - a force to reckon with!","Congratulations to Andrew Gillum on having run a really tough and competitive race for Governor of the Great State of Florida He will be a strong Democrat warrior long into the future  a force to reckon with","",""
"405","I can get Nancy Pelosi as many votes as she wants in order for her to be Speaker of the House. She deserves this victory she has earned it - but there are those in her party who are trying to take it away. She will win! @TomReedCongress","I can get Nancy Pelosi as many votes as she wants in order for her to be Speaker of the House She deserves this victory she has earned it  but there are those in her party who are trying to take it away She will win ","","@TomReedCongress"
"406","Thank you @JerryBrownGov. Look forward to joining you and @GavinNewsom tomorrow in California. We are with you! https://t.co/UuXWAadmov","Thank you  Look forward to joining you and  tomorrow in California We are with you ","","@JerryBrownGov., @GavinNewsom"
"407","....their country’s flag. Can this be possible? Yes because it is all a BIG CON and the American taxpayer is paying for it!","their countrys flag Can this be possible Yes because it is all a BIG CON and the American taxpayer is paying for it","",""
"408","Isn’t it ironic that large Caravans of people are marching to our border wanting U.S.A. asylum because they are fearful of being in their country - yet they are proudly waving....","Isnt it ironic that large Caravans of people are marching to our border wanting USA asylum because they are fearful of being in their country  yet they are proudly waving","",""
"409","Congratulations to Brian Kemp on becoming the new Governor of Georgia. Stacey Abrams fought brilliantly and hard - she will have a terrific political future! Brian was unrelenting and will become a great Governor for the truly Wonderful People of Georgia!","Congratulations to Brian Kemp on becoming the new Governor of Georgia Stacey Abrams fought brilliantly and hard  she will have a terrific political future Brian was unrelenting and will become a great Governor for the truly Wonderful People of Georgia","",""
"410","Congratulations to Ron DeSantis on becoming the new Governor of Florida. Against all odds he fought &amp; fought &amp; fought the result being a historic victory. He never gave up and never will. He will be a great Governor!","Congratulations to Ron DeSantis on becoming the new Governor of Florida Against all odds he fought amp fought amp fought the result being a historic victory He never gave up and never will He will be a great Governor","",""
"411","PRESIDENTIAL MEDAL OF FREEDOM https://t.co/Mgeg4wijTk","PRESIDENTIAL MEDAL OF FREEDOM ","",""
"412","People are not being told that the Republican Party is on track to pick up two seats in the U.S. Senate and epic victory: 53 to 47. The Fake News Media only wants to speak of the House where the Midterm results were better than other sitting Presidents.","People are not being told that the Republican Party is on track to pick up two seats in the US Senate and epic victory 53 to 47 The Fake News Media only wants to speak of the House where the Midterm results were better than other sitting Presidents","",""
"413","Today in the East Room of the @WhiteHouse it was my true privilege to award seven extraordinary Americans with the Presidential Medal of Freedom...https://t.co/TuEy635mav","Today in the East Room of the  it was my true privilege to award seven extraordinary Americans with the Presidential Medal of Freedom","","@WhiteHouse"
"414","People are not being told that the Republican Party is on track to pick up two seats in the U.S. Senate and epic victory: 53 to 47. The Fake News Media only wants to speak of the House were the Midterm results were better than other sitting Presidents.","People are not being told that the Republican Party is on track to pick up two seats in the US Senate and epic victory 53 to 47 The Fake News Media only wants to speak of the House were the Midterm results were better than other sitting Presidents","",""
"415","It is our sacred duty to support America’s Service Members every single day they wear the uniform – and every day after when they return home as Veterans. Together we will HONOR those who defend us we will CHERISH those who protect us and we will celebrate the amazing heroes... https://t.co/kovcIj4fwU","It is our sacred duty to support Americas Service Members every single day they wear the uniform  and every day after when they return home as Veterans Together we will HONOR those who defend us we will CHERISH those who protect us and we will celebrate the amazing heroes ","",""
"416","Last year I signed the landmark VA Accountability Act to ensure those who mistreat our Veterans can be held fully accountable. Since my inauguration we have removed more than 3600 government employees who were not giving our Vets the care they deserve.... https://t.co/KqWXXt7D4U","Last year I signed the landmark VA Accountability Act to ensure those who mistreat our Veterans can be held fully accountable Since my inauguration we have removed more than 3600 government employees who were not giving our Vets the care they deserve ","",""
"417","It was my great honor to host a @WhiteHouse Conference on Supporting Veterans &amp; Military Families...To everyone here today who has served our Country in uniform &amp; to every Veteran &amp; Military family across our land I want to express the eternal gratitude of our entire Nation! https://t.co/MK8jUaTGFK","It was my great honor to host a  Conference on Supporting Veterans amp Military FamiliesTo everyone here today who has served our Country in uniform amp to every Veteran amp Military family across our land I want to express the eternal gratitude of our entire Nation ","","@WhiteHouse"
"418",".@FLOTUS Melania and I were honored to visit with our GREAT U.S. MARINES at the Marine Barracks here in Washington D.C. We love you @USMC @MBWDC! https://t.co/ASWmDZrDRK https://t.co/xYrPw9zzVv"," Melania and I were honored to visit with our GREAT US MARINES at the Marine Barracks here in Washington DC We love you   ","","@FLOTUS, @USMC, @MBWDC!"
"419","The only “Collusion” is that of the Democrats with Russia and many others. Why didn’t the FBI take the Server from the DNC? They still don’t have it. Check out how biased Facebook Google and Twitter are in favor of the Democrats. That’s the real Collusion!","The only Collusion is that of the Democrats with Russia and many others Why didnt the FBI take the Server from the DNC They still dont have it Check out how biased Facebook Google and Twitter are in favor of the Democrats Thats the real Collusion","",""
"420","Universities will someday study what highly conflicted (and NOT Senate approved) Bob Mueller and his gang of Democrat thugs have done to destroy people. Why is he protecting Crooked Hillary Comey McCabe Lisa Page &amp; her lover Peter S and all of his friends on the other side?","Universities will someday study what highly conflicted and NOT Senate approved Bob Mueller and his gang of Democrat thugs have done to destroy people Why is he protecting Crooked Hillary Comey McCabe Lisa Page amp her lover Peter S and all of his friends on the other side","",""
"421","....care how many lives the ruin. These are Angry People including the highly conflicted Bob Mueller who worked for Obama for 8 years. They won’t even look at all of the bad acts and crimes on the other side. A TOTAL WITCH HUNT LIKE NO OTHER IN AMERICAN HISTORY!","care how many lives the ruin These are Angry People including the highly conflicted Bob Mueller who worked for Obama for 8 years They wont even look at all of the bad acts and crimes on the other side A TOTAL WITCH HUNT LIKE NO OTHER IN AMERICAN HISTORY","",""
"422","The inner workings of the Mueller investigation are a total mess. They have found no collusion and have gone absolutely nuts. They are screaming and shouting at people horribly threatening them to come up with the answers they want. They are a disgrace to our Nation and don’t...","The inner workings of the Mueller investigation are a total mess They have found no collusion and have gone absolutely nuts They are screaming and shouting at people horribly threatening them to come up with the answers they want They are a disgrace to our Nation and dont","",""
"423","The White House is running very smoothly and the results for our Nation are obviously very good. We are the envy of the world. But anytime I even think about making changes the FAKE NEWS MEDIA goes crazy always seeking to make us look as bad as possible! Very dishonest!","The White House is running very smoothly and the results for our Nation are obviously very good We are the envy of the world But anytime I even think about making changes the FAKE NEWS MEDIA goes crazy always seeking to make us look as bad as possible Very dishonest","",""
"424","Our pledge to hire American includes those leaving prison and looking for a very fresh start — new job and new life. The legislation I am supporting today contains many significant reforms. Read more here: https://t.co/BwQ3qd9Fyk https://t.co/6DUY9KNTpR","Our pledge to hire American includes those leaving prison and looking for a very fresh start  new job and new life The legislation I am supporting today contains many significant reforms Read more here ","",""
"425","I am grateful to be here today w/ Members of the House &amp; Senate who have poured their time heart and energy into the crucial issue of Prison Reform. Working together w/ my Admin over the last two years these members have reached a bipartisan agreement...https://t.co/wflidv2cZr","I am grateful to be here today w Members of the House amp Senate who have poured their time heart and energy into the crucial issue of Prison Reform Working together w my Admin over the last two years these members have reached a bipartisan agreement","",""
"426","Just spoke to Governor Jerry Brown to let him know that we are with him and the people of California all the way!","Just spoke to Governor Jerry Brown to let him know that we are with him and the people of California all the way","",""
"427","Was just briefed by @FEMA_Brock and @SecretaryZinke who are in California. Thank you to the great Firefighters First Responders and @FEMA for the incredible job they are doing w/ the California Wildfires. Our Nation appreciates your heroism courage &amp; genius. God Bless you all!","Was just briefed by  and  who are in California Thank you to the great Firefighters First Responders and  for the incredible job they are doing w the California Wildfires Our Nation appreciates your heroism courage amp genius God Bless you all","","@FEMA_Brock, @SecretaryZinke, @FEMA"
"428","Not seen in many years America’s steelworkers get a hard-earned raise because of my Administration’s policies to help bring back the U.S. steel industry which is critical to our National Security. I will always protect America and its workers!","Not seen in many years Americas steelworkers get a hardearned raise because of my Administrations policies to help bring back the US steel industry which is critical to our National Security I will always protect America and its workers","",""
"429","“Boom: Record high business optimism need for employees at 45-year high” https://t.co/jBFjEwAcfd","Boom Record high business optimism need for employees at 45year high ","",""
"430","It was my great honor to host a celebration of Diwali the Hindu Festival of Lights in the Roosevelt Room at the @WhiteHouse this afternoon. Very very special people! https://t.co/kQk7IvpSFo https://t.co/tYlBABg4JF","It was my great honor to host a celebration of Diwali the Hindu Festival of Lights in the Roosevelt Room at the  this afternoon Very very special people ","","@WhiteHouse"
"431","Today we gathered for Diwali a holiday observed by Buddhists Sikhs and Jains throughout the United States &amp; around the world. Hundreds of millions of people have gathered with family &amp; friends to light the Diya and to mark the beginning of a New Year. https://t.co/epHogpTY1A https://t.co/9LUwnhngWJ","Today we gathered for Diwali a holiday observed by Buddhists Sikhs and Jains throughout the United States amp around the world Hundreds of millions of people have gathered with family amp friends to light the Diya and to mark the beginning of a New Year ","",""
"432","Today we gathered for Diwali a holiday observed by Buddhists Sikhs and Jains throughout the United States &amp; around the world. Hundreds of millions of people have gathered with family &amp; friends to light the Diya and to mark the beginning of a New Year. https://t.co/a1QRfaPm37 https://t.co/LKRTr0nCQl","Today we gathered for Diwali a holiday observed by Buddhists Sikhs and Jains throughout the United States amp around the world Hundreds of millions of people have gathered with family amp friends to light the Diya and to mark the beginning of a New Year ","",""
"433","We mourn for the lives lost and we pray for the victims of the California Wildfires. I want to thank the Firefighters and First Responders for their incredible courage in the face of grave danger.... https://t.co/3YQYZR8OzS","We mourn for the lives lost and we pray for the victims of the California Wildfires I want to thank the Firefighters and First Responders for their incredible courage in the face of grave danger ","",""
"434","The story in the New York Times concerning North Korea developing missile bases is inaccurate. We fully know about the sites being discussed nothing new - and nothing happening out of the normal. Just more Fake News. I will be the first to let you know if things go bad!","The story in the New York Times concerning North Korea developing missile bases is inaccurate We fully know about the sites being discussed nothing new  and nothing happening out of the normal Just more Fake News I will be the first to let you know if things go bad","",""
"435","When will Bill Nelson concede in Florida? The characters running Broward and Palm Beach voting will not be able to “find” enough votes too much spotlight on them now!","When will Bill Nelson concede in Florida The characters running Broward and Palm Beach voting will not be able to find enough votes too much spotlight on them now","",""
"436","By the way when the helicopter couldn’t fly to the first cemetery in France because of almost zero visibility I suggested driving. Secret Service said NO too far from airport &amp; big Paris shutdown. Speech next day at American Cemetery in pouring rain! Little reported-Fake News!","By the way when the helicopter couldnt fly to the first cemetery in France because of almost zero visibility I suggested driving Secret Service said NO too far from airport amp big Paris shutdown Speech next day at American Cemetery in pouring rain Little reportedFake News","",""
