"","text","cleaned_text","hashtag","tagged_account"
"19","This isn’t about the Wall everybody knows that a Wall will work perfectly (In Israel the Wall works 99.9%). This is only about the Dems not letting Donald Trump &amp; the Republicans have a win. They may have the 10 Senate votes but we have the issue Border Security. 2020!","This isnt about the Wall everybody knows that a Wall will work perfectly In Israel the Wall works 999 This is only about the Dems not letting Donald Trump amp the Republicans have a win They may have the 10 Senate votes but we have the issue Border Security 2020","",""
"20","Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The President says look this is your neighborhood you’ve got to stand up to protect yourselves. Don’t always look to America.”","Brad Blakeman The American people understand that we have been played by foreign actors who would rather have us fight their battles for them The President says look this is your neighborhood youve got to stand up to protect yourselves Dont always look to America","",""
"21","Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The Pesident says look this is your neighborhood you’ve got to stand up to protect yourselves. Don’t always look to America.”","Brad Blakeman The American people understand that we have been played by foreign actors who would rather have us fight their battles for them The Pesident says look this is your neighborhood youve got to stand up to protect yourselves Dont always look to America","",""
"22","I totally agree! https://t.co/KO8E3bfWfn","I totally agree ","",""
"23","There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop. Time to get tough on Border Security. Build the Wall!","There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop Time to get tough on Border Security Build the Wall","",""
"24","“Border Patrol Agents want the Wall.” Democrat’s say they don’t want the Wall (even though they know it is really needed) and they don’t want ICE. They don’t have much to campaign on do they? An Open Southern Border and the large scale crime that comes with such stupidity!","Border Patrol Agents want the Wall Democrats say they dont want the Wall even though they know it is really needed and they dont want ICE They dont have much to campaign on do they An Open Southern Border and the large scale crime that comes with such stupidity","",""
"25","The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supreme Court case. After ruling Dems dropped deal - and that’s where we are today Democrat obstruction of the needed Wall.","The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supreme Court case After ruling Dems dropped deal  and thats where we are today Democrat obstruction of the needed Wall","",""
"26","The Democrats OBSTRUCTION of the desperately needed Wall where they almost all recently agreed it should be built is exceeded only by their OBSTRUCTION of 350 great people wanting &amp; expecting to come into Government after being delayed for more than two years a U.S. record!","The Democrats OBSTRUCTION of the desperately needed Wall where they almost all recently agreed it should be built is exceeded only by their OBSTRUCTION of 350 great people wanting amp expecting to come into Government after being delayed for more than two years a US record","",""
"27","The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supteme Court case. After ruling Dems dropped deal - and that’s where we are today Democrat obstruction of the needed Wall.","The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supteme Court case After ruling Dems dropped deal  and thats where we are today Democrat obstruction of the needed Wall","",""
"28","Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Need to stop Drugs Human TraffickingGang Members &amp; Criminals from coming into our Country. Do the Dems realize that most of the people not getting paid are Democrats?","Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border Need to stop Drugs Human TraffickingGang Members amp Criminals from coming into our Country Do the Dems realize that most of the people not getting paid are Democrats","",""
"29","Just returned from visiting our troops in Iraq and Germany. One thing is certain we have incredible people representing our Country - people that know how to win!","Just returned from visiting our troops in Iraq and Germany One thing is certain we have incredible people representing our Country  people that know how to win","",""
"30",".@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A.! https://t.co/rDlhITDvm1"," Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq GOD BLESS THE USA ","","@FLOTUS"
"31","I hope everyone even the Fake News Media is having a great Christmas! Our Country is doing very well. We are securing our Borders making great new Trade Deals and bringing our Troops Back Home. We are finally putting America First. MERRY CHRISTMAS!  #MAGA","I hope everyone even the Fake News Media is having a great Christmas Our Country is doing very well We are securing our Borders making great new Trade Deals and bringing our Troops Back Home We are finally putting America First MERRY CHRISTMAS  ","#MAGA",""
"32","Merry Christmas!","Merry Christmas","",""
"33","RT @FLOTUS: Helping children across the country track #Santa is becoming one of my favorite traditions!  @Potus and I enjoyed working with…","RT  Helping children across the country track  is becoming one of my favorite traditions   and I enjoyed working with","#Santa","@FLOTUS:, @Potus"
"34","I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We are already building and renovating many miles of Wall some complete. Democrats must end Shutdown and finish funding. Billions of Dollars &amp; lives will be saved!","I am in the Oval Office amp just gave out a 115 mile long contract for another large section of the Wall in Texas We are already building and renovating many miles of Wall some complete Democrats must end Shutdown and finish funding Billions of Dollars amp lives will be saved","",""
"35","Christmas Eve briefing with my team working on North Korea – Progress being made. Looking forward to my next summit with Chairman Kim! https://t.co/zPTtDbrP0o","Christmas Eve briefing with my team working on North Korea  Progress being made Looking forward to my next summit with Chairman Kim ","",""
"36","I am all alone (poor me) in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security. At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about. Crazy!","I am all alone poor me in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about Crazy","",""
"37","Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria instead of the United States. See? Isn’t it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country the U.S. that is 5000 miles away. Thanks to Saudi A!","Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria instead of the United States See Isnt it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country the US that is 5000 miles away Thanks to Saudi A","",""
"38","The Wall is different than the 25 Billion Dollars in Border Security. The complete Wall will be built with the Shutdown money plus funds already in hand. The reporting has been inaccurate on the point. The problem is without the Wall much of the rest of Dollars are wasted!","The Wall is different than the 25 Billion Dollars in Border Security The complete Wall will be built with the Shutdown money plus funds already in hand The reporting has been inaccurate on the point The problem is without the Wall much of the rest of Dollars are wasted","",""
"39","I never “lashed out” at the Acting Attorney General of the U.S. a man for whom I have great respect. This is a made up story one of many by the Fake News Media!","I never lashed out at the Acting Attorney General of the US a man for whom I have great respect This is a made up story one of many by the Fake News Media","",""
"40","The only problem our economy has is the Fed. They don’t have a feel for the Market they don’t understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can’t score because he has no touch - he can’t putt!","The only problem our economy has is the Fed They dont have a feel for the Market they dont understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders The Fed is like a powerful golfer who cant score because he has no touch  he cant putt","",""
"41","AMERICA IS RESPECTED AGAIN!","AMERICA IS RESPECTED AGAIN","",""
"42","For all of the sympathizers out there of Brett McGurk remember he was the Obama appointee who was responsible for loading up airplanes with 1.8 Billion Dollars in CASH &amp;  sending it to Iran as part of the horrific Iran Nuclear Deal (now terminated) approved by Little Bob Corker.","For all of the sympathizers out there of Brett McGurk remember he was the Obama appointee who was responsible for loading up airplanes with 18 Billion Dollars in CASH amp  sending it to Iran as part of the horrific Iran Nuclear Deal now terminated approved by Little Bob Corker","",""
