"","text","cleaned_text","hashtag","tagged_account","filtered"
"3302","In one of the biggest stories in a long time the FBI now says it is missing five months worth of lovers Strzok-Page texts perhaps 50000 and all in prime time. Wow!","In one of the biggest stories in a long time the FBI now says it is missing five months worth of lovers StrzokPage texts perhaps  and all in prime time Wow","",""," one   biggest stories   long time  fbi  says   missing five months worth  lovers strzokpage texts perhaps     prime time wow"
"3303","In one of the biggest stories in a long time the FBI says it is now missing five months worth of lovers Strzok - Page texts perhaps 50000 all in prime time. Wow!","In one of the biggest stories in a long time the FBI says it is now missing five months worth of lovers Strzok  Page texts perhaps  all in prime time Wow","",""," one   biggest stories   long time  fbi says    missing five months worth  lovers strzok  page texts perhaps    prime time wow"
"3304","Even Crazy Jim Acosta of Fake News CNN agrees: “Trump World and WH sources dancing in end zone: Trump wins again...Schumer and Dems caved...gambled and lost.” Thank you for your honesty Jim!","Even Crazy Jim Acosta of Fake News CNN agrees Trump World and WH sources dancing in end zone Trump wins againSchumer and Dems cavedgambled and lost Thank you for your honesty Jim","","","even crazy jim acosta  fake news cnn agrees trump world  wh sources dancing  end zone trump wins againschumer  dems cavedgambled  lost thank    honesty jim"
"3305","Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone including Republicans Democrats and DACA but especially for our Great Military and Border Security. Should be able to get there. See you at the negotiating table!","Big win for Republicans as Democrats cave on Shutdown Now I want a big win for everyone including Republicans Democrats and DACA but especially for our Great Military and Border Security Should be able to get there See you at the negotiating table","","","big win  republicans  democrats cave  shutdown   want  big win  everyone including republicans democrats  daca  especially   great military  border security   able  get  see    negotiating table"
"3306","End the Democrats Obstruction! https://t.co/tzBXilvW1b","End the Democrats Obstruction ","","","end  democrats obstruction "
"3307","Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!","Democrats have shut down our government in the interests of their far left base They dont want to do it but are powerless","","","democrats  shut   government   interests   far left base  dont want      powerless"
"3308","The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!","The Democrats are turning down services and security for citizens in favor of services and security for noncitizens Not good","",""," democrats  turning  services  security  citizens  favor  services  security  noncitizens  good"
"3309","Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an “A”-and likewise to Doug Schoen for the very good grade and statements. Working hard!","Thank you to Brad Blakeman on  for grading year one of my presidency with an Aand likewise to Doug Schoen for the very good grade and statements Working hard","","@FoxNews","thank   brad blakeman    grading year one   presidency   aand likewise  doug schoen    good grade  statements working hard"
"3310","Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illegal immigrants to pour into our nation unchecked. If stalemate continues Republicans should go to 51% (Nuclear Option) and vote on real long term budget no C.R.’s!","Great to see how hard Republicans are fighting for our Military and Safety at the Border The Dems just want illegal immigrants to pour into our nation unchecked If stalemate continues Republicans should go to  Nuclear Option and vote on real long term budget no CRs","","","great  see  hard republicans  fighting   military  safety   border  dems  want illegal immigrants  pour   nation unchecked  stalemate continues republicans  go   nuclear option  vote  real long term budget  crs"
"3311","RT @realDonaldTrump: Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that hap…","  Democrats are holding our Military hostage over their desire to have unchecked illegal immigration Cant let that hap","","@realDonaldTrump:","  democrats  holding  military hostage   desire   unchecked illegal immigration cant let  hap"
"3312","RT @FoxNews: .@EricTrump: ""My father was elected for one reason and that's because he actually believes in putting America first which is…","   My father was elected for one reason and thats because he actually believes in putting America first which is","","@FoxNews:, @EricTrump:","    father  elected  one reason  thats   actually believes  putting america first  "
"3313","RT @FoxNews: .@KellyannePolls: ""Since @POTUS took office 863000 new jobs were filled by women. Over half a million American women have en…","   Since  took office  new jobs were filled by women Over half a million American women have en","","@FoxNews:, @KellyannePolls:, @POTUS","   since  took office  new jobs  filled  women  half  million american women  en"
"3314","RT @FoxNews: .@davidwebbshow: ""Let's look at the calendar. It's January 20th. DACA expires on March 5th. That means this was a construct of…","   Lets look at the calendar Its January th DACA expires on March th That means this was a construct of","","@FoxNews:, @davidwebbshow:","   lets look   calendar  january th daca expires  march th  means    construct "
"3315","RT @FoxNews: .@EricTrump: ""People have seen a year that's incredible that's been filled with nothing but the best for our country America…","   People have seen a year thats incredible thats been filled with nothing but the best for our country America","","@FoxNews:, @EricTrump:","   people  seen  year thats incredible thats  filled  nothing   best   country america"
"3316","Eric Trump on @JudgeJeanine on @FoxNews now!","Eric Trump on  on  now","","@JudgeJeanine, @FoxNews","eric trump     "
"3317","The Trump Administration has terminated more UNNECESSARY Regulation in just twelve months than any other Administration has terminated during their full term in office no matter what the length. The good news is THERE IS MUCH MORE TO COME!","The Trump Administration has terminated more UNNECESSARY Regulation in just twelve months than any other Administration has terminated during their full term in office no matter what the length The good news is THERE IS MUCH MORE TO COME","",""," trump administration  terminated  unnecessary regulation   twelve months    administration  terminated   full term  office  matter   length  good news    much   come"
"3318","RT @realDonaldTrump: Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger…","  Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger","","@realDonaldTrump:","  democrats  far  concerned  illegal immigrants      great military  safety   danger"
