"","text","cleaned_text","hashtag","tagged_account","filtered"
"1","President and Mrs. Obama built/has a ten foot Wall around their D.C. mansion/compound. I agree totally necessary for their safety and security. The U.S. needs the same thing slightly larger version!","President and Mrs Obama builthas a ten foot Wall around their DC mansioncompound I agree totally necessary for their safety and security The US needs the same thing slightly larger version","","","president  mrs obama builthas  ten foot wall around  dc mansioncompound  agree totally necessary   safety  security  us needs   thing slightly larger version"
"2","Great work by my Administration over the holidays to save Coast Guard pay during this #SchumerShutdown. No thanks to the Democrats who left town and are not concerned about the safety and security of Americans!","Great work by my Administration over the holidays to save Coast Guard pay during this  No thanks to the Democrats who left town and are not concerned about the safety and security of Americans","#SchumerShutdown.","","great work   administration   holidays  save coast guard pay     thanks   democrats  left town    concerned   safety  security  americans"
"3","Veterans on President Trump’s handling of Border Security - 62% Approval Rating. On being a strong leader - 59%.  AP Poll. Thank you!","Veterans on President Trumps handling of Border Security   Approval Rating On being a strong leader    AP Poll Thank you","","","veterans  president trumps handling  border security   approval rating    strong leader    ap poll thank "
"4","“It turns out to be true now that the Department of Justice and the FBI under President Obama rigged the investigation for Hillary and really turned the screws on Trump and now it looks like in a corrupt &amp; illegal way. The facts are out now. Whole Hoax exposed. @JesseBWatters","It turns out to be true now that the Department of Justice and the FBI under President Obama rigged the investigation for Hillary and really turned the screws on Trump and now it looks like in a corrupt amp illegal way The facts are out now Whole Hoax exposed ","","@JesseBWatters"," turns    true    department  justice   fbi  president obama rigged  investigation  hillary  really turned  screws  trump    looks like   corrupt amp illegal way  facts    whole hoax exposed "
"5","“Absolutely nothing” (on Russian Collusion). Kimberley Strassel The Wall Street Journal. The Russian Collusion fabrication is the greatest Hoax in the history of American politics. The only Russian Collusion was with Hillary and the Democrats!","Absolutely nothing on Russian Collusion Kimberley Strassel The Wall Street Journal The Russian Collusion fabrication is the greatest Hoax in the history of American politics The only Russian Collusion was with Hillary and the Democrats","","","absolutely nothing  russian collusion kimberley strassel  wall street journal  russian collusion fabrication   greatest hoax   history  american politics   russian collusion   hillary   democrats"
"6","2018 is being called “THE YEAR OF THE WORKER” by Steve Moore co-author of “Trumponomics.” It was indeed a great year for the American Worker with the “best job market in 50 years and the lowest unemployment rate ever for blacks and Hispanics and all workers. Big wage gains.”"," is being called THE YEAR OF THE WORKER by Steve Moore coauthor of Trumponomics It was indeed a great year for the American Worker with the best job market in  years and the lowest unemployment rate ever for blacks and Hispanics and all workers Big wage gains","","","   called  year   worker  steve moore coauthor  trumponomics   indeed  great year   american worker   best job market   years   lowest unemployment rate ever  blacks  hispanics   workers big wage gains"
"7","For those that naively ask why didn’t the Republicans get approval to build the Wall over the last year it is because IN THE SENATE WE NEED 10 DEMOCRAT VOTES and they will gives us “NONE” for Border Security! Now we have to do it the hard way with a Shutdown. Too bad! @FoxNews","For those that naively ask why didnt the Republicans get approval to build the Wall over the last year it is because IN THE SENATE WE NEED  DEMOCRAT VOTES and they will gives us NONE for Border Security Now we have to do it the hard way with a Shutdown Too bad ","","@FoxNews","   naively ask  didnt  republicans get approval  build  wall   last year      senate  need  democrat votes    gives us none  border security        hard way   shutdown  bad "
"8","...children in question were very sick before they were given over to Border Patrol. The father of the young girl said it was not their fault he hadn’t given her water in days. Border Patrol needs the Wall and it will all end. They are working so hard &amp; getting so little credit!","children in question were very sick before they were given over to Border Patrol The father of the young girl said it was not their fault he hadnt given her water in days Border Patrol needs the Wall and it will all end They are working so hard amp getting so little credit","","","children  question   sick    given   border patrol  father   young girl said     fault  hadnt given  water  days border patrol needs  wall     end   working  hard amp getting  little credit"
"9","Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally. They can’t. If we had a Wall they wouldn’t even try! The two.....","Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally They cant If we had a Wall they wouldnt even try The two","",""," deaths  children  others   border  strictly  fault   democrats   pathetic immigration policies  allow people  make  long trek thinking   enter  country illegally  cant     wall  wouldnt even try  two"
"10","Just had a long and very good call with President Xi of China. Deal is moving along very well. If made it will be very comprehensive covering all subjects areas and points of dispute. Big progress being made!","Just had a long and very good call with President Xi of China Deal is moving along very well If made it will be very comprehensive covering all subjects areas and points of dispute Big progress being made","","","   long   good call  president xi  china deal  moving along  well  made     comprehensive covering  subjects areas  points  dispute big progress  made"
"11","I am in the White House waiting for the Democrats to come on over and make a deal on Border Security. From what I hear they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military!","I am in the White House waiting for the Democrats to come on over and make a deal on Border Security From what I hear they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military","","","    white house waiting   democrats  come    make  deal  border security    hear   spending  much time  presidential harassment    little time left  things like stopping crime   military"
"12","The Mueller Angry Democrats recently deleted approximately 19000 Text messages between FBI Agent Lisa Page and her lover Agent Peter S. These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax. This is a total Obstruction of Justice. All Texts Demanded!","The Mueller Angry Democrats recently deleted approximately  Text messages between FBI Agent Lisa Page and her lover Agent Peter S These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax This is a total Obstruction of Justice All Texts Demanded","",""," mueller angry democrats recently deleted approximately  text messages  fbi agent lisa page   lover agent peter   texts  asked   invaluable   truth   witch hunt hoax    total obstruction  justice  texts demanded"
"13","Thank you to Sean Parnell for the nice comments on @foxandfriends about the troops wonderful reaction to Melania and I in Iraq and Germany. Great things are happening!","Thank you to Sean Parnell for the nice comments on  about the troops wonderful reaction to Melania and I in Iraq and Germany Great things are happening","","@foxandfriends","thank   sean parnell   nice comments     troops wonderful reaction  melania    iraq  germany great things  happening"
"14",".....Honduras Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that a new Caravan is forming in Honduras and they are doing nothing about it. We will be cutting off all aid to these 3 countries - taking advantage of U.S. for years!","Honduras Guatemala and El Salvador are doing nothing for the United States but taking our money Word is that a new Caravan is forming in Honduras and they are doing nothing about it We will be cutting off all aid to these  countries  taking advantage of US for years","","","honduras guatemala  el salvador   nothing   united states  taking  money word    new caravan  forming  honduras     nothing      cutting   aid    countries  taking advantage  us  years"
"15",".....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre-NAFTA before so many of our companies and jobs were so foolishly sent to Mexico. Either we build (finish) the Wall or we close the Border......","close the Southern Border Bring our car industry back into the United States where it belongs Go back to preNAFTA before so many of our companies and jobs were so foolishly sent to Mexico Either we build finish the Wall or we close the Border","","","close  southern border bring  car industry back   united states   belongs go back  prenafta   many   companies  jobs   foolishly sent  mexico either  build finish  wall   close  border"
"16","....The United States looses soooo much money on Trade with Mexico under NAFTA over 75 Billion Dollars a year (not including Drug Money which would be many times that amount) that I would consider closing the Southern Border a “profit making operation.” We build a Wall or.....","The United States looses soooo much money on Trade with Mexico under NAFTA over  Billion Dollars a year not including Drug Money which would be many times that amount that I would consider closing the Southern Border a profit making operation We build a Wall or","",""," united states looses soooo much money  trade  mexico  nafta   billion dollars  year  including drug money  would  many times  amount   would consider closing  southern border  profit making operation  build  wall "
"17","We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the Wall &amp; also change the ridiculous immigration laws that our Country is saddled with. Hard to believe there was a Congress &amp; President who would approve!","We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the Wall amp also change the ridiculous immigration laws that our Country is saddled with Hard to believe there was a Congress amp President who would approve","","","   forced  close  southern border entirely   obstructionist democrats   give us  money  finish  wall amp also change  ridiculous immigration laws   country  saddled  hard  believe    congress amp president  would approve"
"18","CNN &amp; others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and Germany. If these brave young people ask me to sign their hat I will sign. Can you imagine my saying NO? We brought or gave NO hats as the Fake News first reported!","CNN amp others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and Germany If these brave young people ask me to sign their hat I will sign Can you imagine my saying NO We brought or gave NO hats as the Fake News first reported","","","cnn amp others within  fake news universe  going wild   signing maga hats   military  iraq  germany   brave young people ask   sign  hat   sign   imagine  saying   brought  gave  hats   fake news first reported"
"19","This isn’t about the Wall everybody knows that a Wall will work perfectly (In Israel the Wall works 99.9%). This is only about the Dems not letting Donald Trump &amp; the Republicans have a win. They may have the 10 Senate votes but we have the issue Border Security. 2020!","This isnt about the Wall everybody knows that a Wall will work perfectly In Israel the Wall works  This is only about the Dems not letting Donald Trump amp the Republicans have a win They may have the  Senate votes but we have the issue Border Security ","",""," isnt   wall everybody knows   wall  work perfectly  israel  wall works       dems  letting donald trump amp  republicans   win  may    senate votes     issue border security "
"20","Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The President says look this is your neighborhood you’ve got to stand up to protect yourselves. Don’t always look to America.”","Brad Blakeman The American people understand that we have been played by foreign actors who would rather have us fight their battles for them The President says look this is your neighborhood youve got to stand up to protect yourselves Dont always look to America","","","brad blakeman  american people understand     played  foreign actors  would rather  us fight  battles    president says look    neighborhood youve got  stand   protect  dont always look  america"
"21","Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The Pesident says look this is your neighborhood you’ve got to stand up to protect yourselves. Don’t always look to America.”","Brad Blakeman The American people understand that we have been played by foreign actors who would rather have us fight their battles for them The Pesident says look this is your neighborhood youve got to stand up to protect yourselves Dont always look to America","","","brad blakeman  american people understand     played  foreign actors  would rather  us fight  battles    pesident says look    neighborhood youve got  stand   protect  dont always look  america"
"22","I totally agree! https://t.co/KO8E3bfWfn","I totally agree ","",""," totally agree "
"23","There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop. Time to get tough on Border Security. Build the Wall!","There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop Time to get tough on Border Security Build the Wall","","","  right   full scale manhunt going   california   illegal immigrant accused  shooting  killing  police officer   traffic stop time  get tough  border security build  wall"
"24","“Border Patrol Agents want the Wall.” Democrat’s say they don’t want the Wall (even though they know it is really needed) and they don’t want ICE. They don’t have much to campaign on do they? An Open Southern Border and the large scale crime that comes with such stupidity!","Border Patrol Agents want the Wall Democrats say they dont want the Wall even though they know it is really needed and they dont want ICE They dont have much to campaign on do they An Open Southern Border and the large scale crime that comes with such stupidity","","","border patrol agents want  wall democrats say  dont want  wall even though  know   really needed   dont want ice  dont  much  campaign     open southern border   large scale crime  comes   stupidity"
"25","The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supreme Court case. After ruling Dems dropped deal - and that’s where we are today Democrat obstruction of the needed Wall.","The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the th Circuit allowed DACA to remain thereby setting up a Supreme Court case After ruling Dems dropped deal  and thats where we are today Democrat obstruction of the needed Wall","",""," reason  daca  wall deal didnt get done    ridiculous court decision   th circuit allowed daca  remain thereby setting   supreme court case  ruling dems dropped deal   thats    today democrat obstruction   needed wall"
"26","The Democrats OBSTRUCTION of the desperately needed Wall where they almost all recently agreed it should be built is exceeded only by their OBSTRUCTION of 350 great people wanting &amp; expecting to come into Government after being delayed for more than two years a U.S. record!","The Democrats OBSTRUCTION of the desperately needed Wall where they almost all recently agreed it should be built is exceeded only by their OBSTRUCTION of  great people wanting amp expecting to come into Government after being delayed for more than two years a US record","",""," democrats obstruction   desperately needed wall   almost  recently agreed    built  exceeded    obstruction   great people wanting amp expecting  come  government   delayed    two years  us record"
"27","The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supteme Court case. After ruling Dems dropped deal - and that’s where we are today Democrat obstruction of the needed Wall.","The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the th Circuit allowed DACA to remain thereby setting up a Supteme Court case After ruling Dems dropped deal  and thats where we are today Democrat obstruction of the needed Wall","",""," reason  daca  wall deal didnt get done    ridiculous court decision   th circuit allowed daca  remain thereby setting   supteme court case  ruling dems dropped deal   thats    today democrat obstruction   needed wall"
"28","Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Need to stop Drugs Human TraffickingGang Members &amp; Criminals from coming into our Country. Do the Dems realize that most of the people not getting paid are Democrats?","Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border Need to stop Drugs Human TraffickingGang Members amp Criminals from coming into our Country Do the Dems realize that most of the people not getting paid are Democrats","","","  democrats finally realized   desperately need border security   wall   southern border need  stop drugs human traffickinggang members amp criminals  coming   country   dems realize     people  getting paid  democrats"
"29","Just returned from visiting our troops in Iraq and Germany. One thing is certain we have incredible people representing our Country - people that know how to win!","Just returned from visiting our troops in Iraq and Germany One thing is certain we have incredible people representing our Country  people that know how to win","",""," returned  visiting  troops  iraq  germany one thing  certain   incredible people representing  country  people  know   win"
"30",".@FLOTUS Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq. GOD BLESS THE U.S.A.! https://t.co/rDlhITDvm1"," Melania and I were honored to visit our incredible troops at Al Asad Air Base in Iraq GOD BLESS THE USA ","","@FLOTUS"," melania    honored  visit  incredible troops  al asad air base  iraq god bless  usa "
"31","I hope everyone even the Fake News Media is having a great Christmas! Our Country is doing very well. We are securing our Borders making great new Trade Deals and bringing our Troops Back Home. We are finally putting America First. MERRY CHRISTMAS!  #MAGA","I hope everyone even the Fake News Media is having a great Christmas Our Country is doing very well We are securing our Borders making great new Trade Deals and bringing our Troops Back Home We are finally putting America First MERRY CHRISTMAS  ","#MAGA",""," hope everyone even  fake news media    great christmas  country    well   securing  borders making great new trade deals  bringing  troops back home   finally putting america first merry christmas  "
"32","Merry Christmas!","Merry Christmas","","","merry christmas"
"33","RT @FLOTUS: Helping children across the country track #Santa is becoming one of my favorite traditions!  @Potus and I enjoyed working with…","  Helping children across the country track  is becoming one of my favorite traditions   and I enjoyed working with","#Santa","@FLOTUS:, @Potus","  helping children across  country track   becoming one   favorite traditions     enjoyed working "
"34","I am in the Oval Office &amp; just gave out a 115 mile long contract for another large section of the Wall in Texas. We are already building and renovating many miles of Wall some complete. Democrats must end Shutdown and finish funding. Billions of Dollars &amp; lives will be saved!","I am in the Oval Office amp just gave out a  mile long contract for another large section of the Wall in Texas We are already building and renovating many miles of Wall some complete Democrats must end Shutdown and finish funding Billions of Dollars amp lives will be saved","","","    oval office amp  gave    mile long contract  another large section   wall  texas   already building  renovating many miles  wall  complete democrats must end shutdown  finish funding billions  dollars amp lives   saved"
"35","Christmas Eve briefing with my team working on North Korea – Progress being made. Looking forward to my next summit with Chairman Kim! https://t.co/zPTtDbrP0o","Christmas Eve briefing with my team working on North Korea  Progress being made Looking forward to my next summit with Chairman Kim ","","","christmas eve briefing   team working  north korea  progress  made looking forward   next summit  chairman kim "
"36","I am all alone (poor me) in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security. At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about. Crazy!","I am all alone poor me in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about Crazy","","","   alone poor    white house waiting   democrats  come back  make  deal  desperately needed border security   point  democrats  wanting  make  deal  cost  country  money   border wall    talking  crazy"
"37","Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria instead of the United States. See? Isn’t it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country the U.S. that is 5000 miles away. Thanks to Saudi A!","Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria instead of the United States See Isnt it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country the US that is  miles away Thanks to Saudi A","","","saudi arabia   agreed  spend  necessary money needed  help rebuild syria instead   united states see isnt  nice  immensely wealthy countries help rebuild  neighbors rather   great country  us    miles away thanks  saudi "
"38","The Wall is different than the 25 Billion Dollars in Border Security. The complete Wall will be built with the Shutdown money plus funds already in hand. The reporting has been inaccurate on the point. The problem is without the Wall much of the rest of Dollars are wasted!","The Wall is different than the  Billion Dollars in Border Security The complete Wall will be built with the Shutdown money plus funds already in hand The reporting has been inaccurate on the point The problem is without the Wall much of the rest of Dollars are wasted","",""," wall  different    billion dollars  border security  complete wall   built   shutdown money plus funds already  hand  reporting   inaccurate   point  problem  without  wall much   rest  dollars  wasted"
"39","I never “lashed out” at the Acting Attorney General of the U.S. a man for whom I have great respect. This is a made up story one of many by the Fake News Media!","I never lashed out at the Acting Attorney General of the US a man for whom I have great respect This is a made up story one of many by the Fake News Media","",""," never lashed    acting attorney general   us  man     great respect    made  story one  many   fake news media"
"40","The only problem our economy has is the Fed. They don’t have a feel for the Market they don’t understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can’t score because he has no touch - he can’t putt!","The only problem our economy has is the Fed They dont have a feel for the Market they dont understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders The Fed is like a powerful golfer who cant score because he has no touch  he cant putt","","","  problem  economy    fed  dont   feel   market  dont understand necessary trade wars  strong dollars  even democrat shutdowns  borders  fed  like  powerful golfer  cant score     touch   cant putt"
"41","AMERICA IS RESPECTED AGAIN!","AMERICA IS RESPECTED AGAIN","","","america  respected "
"42","For all of the sympathizers out there of Brett McGurk remember he was the Obama appointee who was responsible for loading up airplanes with 1.8 Billion Dollars in CASH &amp;  sending it to Iran as part of the horrific Iran Nuclear Deal (now terminated) approved by Little Bob Corker.","For all of the sympathizers out there of Brett McGurk remember he was the Obama appointee who was responsible for loading up airplanes with  Billion Dollars in CASH amp  sending it to Iran as part of the horrific Iran Nuclear Deal now terminated approved by Little Bob Corker","","","    sympathizers    brett mcgurk remember    obama appointee   responsible  loading  airplanes   billion dollars  cash amp  sending   iran  part   horrific iran nuclear deal  terminated approved  little bob corker"
"43","....We are substantially subsidizing the Militaries of many VERY rich countries all over the world while at the same time these countries take total advantage of the U.S. and our TAXPAYERS on Trade. General Mattis did not see this as a problem. I DO and it is being fixed!","We are substantially subsidizing the Militaries of many VERY rich countries all over the world while at the same time these countries take total advantage of the US and our TAXPAYERS on Trade General Mattis did not see this as a problem I DO and it is being fixed","","","  substantially subsidizing  militaries  many  rich countries    world     time  countries take total advantage   us   taxpayers  trade general mattis   see    problem       fixed"
"44","To those few Senators who think I don’t like or appreciate being allied with other countries they are wrong I DO. What I don’t like however is when many of these same countries take advantage of their friendship with the United States both in Military Protection and Trade...","To those few Senators who think I dont like or appreciate being allied with other countries they are wrong I DO What I dont like however is when many of these same countries take advantage of their friendship with the United States both in Military Protection and Trade","","","   senators  think  dont like  appreciate  allied   countries   wrong     dont like however   many    countries take advantage   friendship   united states   military protection  trade"
"45","Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence. It was only when I made it an important part of my campaign because people and drugs were pouring into our Country unchecked that they turned against it. Desperately needed!","Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence It was only when I made it an important part of my campaign because people and drugs were pouring into our Country unchecked that they turned against it Desperately needed","","","virtually every democrat   dealing  today strongly supported  border wall  fence      made   important part   campaign  people  drugs  pouring   country unchecked   turned   desperately needed"
"46","President @RT_Erdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syria....and he is a man who can do it plus Turkey is right “next door.” Our troops are coming home!","President  of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syriaand he is a man who can do it plus Turkey is right next door Our troops are coming home","","@RT_Erdogan","president   turkey   strongly informed     eradicate whatever  left  isis  syriaand    man     plus turkey  right next door  troops  coming home"
"47","“The President has been remarkable. I do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is.” Thank you to Tammy Bruce and Steve Hilton. Presidential Harassment has been with me from the beginning!","The President has been remarkable I do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is Thank you to Tammy Bruce and Steve Hilton Presidential Harassment has been with me from the beginning","",""," president   remarkable    doubt    thrive   new environment      constant reminder   populism  thank   tammy bruce  steve hilton presidential harassment       beginning"
"48","The most important way to stop gangs drugs human trafficking and massive crime is at our Southern Border. We need Border Security and as EVERYONE knows you can’t have Border Security without a Wall. The Drones &amp; Technology are just bells and whistles. Safety for America!","The most important way to stop gangs drugs human trafficking and massive crime is at our Southern Border We need Border Security and as EVERYONE knows you cant have Border Security without a Wall The Drones amp Technology are just bells and whistles Safety for America","","","  important way  stop gangs drugs human trafficking  massive crime    southern border  need border security   everyone knows  cant  border security without  wall  drones amp technology   bells  whistles safety  america"
"49","Mitch McConnell just told a group of people and me that he has been in the U.S. Senate for 32 years and the last two have been by far the best &amp; most productive of his career. Tax &amp; Regulation Cuts VA Choice Farm Bill Criminal Justice Reform Judgeships &amp; much more. Great!","Mitch McConnell just told a group of people and me that he has been in the US Senate for  years and the last two have been by far the best amp most productive of his career Tax amp Regulation Cuts VA Choice Farm Bill Criminal Justice Reform Judgeships amp much more Great","","","mitch mcconnell  told  group  people         us senate   years   last two    far  best amp  productive   career tax amp regulation cuts va choice farm bill criminal justice reform judgeships amp much  great"
"50","“It should not be the job of America to replace regimes around the world. This is what President Trump recognized in Iraq that it was the biggest foreign policy disaster of the last several decades and he’s right...The generals still don’t get the mistake.”  @RandPaul","It should not be the job of America to replace regimes around the world This is what President Trump recognized in Iraq that it was the biggest foreign policy disaster of the last several decades and hes rightThe generals still dont get the mistake  ","","@RandPaul","     job  america  replace regimes around  world    president trump recognized  iraq     biggest foreign policy disaster   last several decades  hes rightthe generals still dont get  mistake  "
"51","RT @RSScott_BP252: USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough -JUST LIKE EVERY OTH…","  USBP Agents will continue to diligently do their sworn duites through the holidays and the furlough JUST LIKE EVERY OTH","","@RSScott_BP252:","  usbp agents  continue  diligently   sworn duites   holidays   furlough  like every oth"
"52","Thanks @RandPaul  “I am very proud of the President. This is exactly what he promised and I think the people agree with him. We’ve been at war too long and in too many places...spent several trillion dollars on these wars everywhere. He’s different...that’s why he got elected.”","Thanks   I am very proud of the President This is exactly what he promised and I think the people agree with him Weve been at war too long and in too many placesspent several trillion dollars on these wars everywhere Hes differentthats why he got elected","","@RandPaul","thanks      proud   president   exactly   promised   think  people agree   weve   war  long    many placesspent several trillion dollars   wars everywhere hes differentthats   got elected"
"53",".....Bob Corker was responsible for giving us the horrible Iran Nuclear Deal which I ended yet he badmouths me for wanting to bring our young people safely back home. Bob wanted to run and asked for my endorsement. I said NO and the game was over. #MAGA I LOVE TENNESSEE!","Bob Corker was responsible for giving us the horrible Iran Nuclear Deal which I ended yet he badmouths me for wanting to bring our young people safely back home Bob wanted to run and asked for my endorsement I said NO and the game was over  I LOVE TENNESSEE","#MAGA","","bob corker  responsible  giving us  horrible iran nuclear deal   ended yet  badmouths   wanting  bring  young people safely back home bob wanted  run  asked   endorsement  said    game     love tennessee"
"54","Senator Bob Corker just stated that “I’m so priveledged to serve in the Senate for twelve years and that’s what I told the people of our state that’s what I’d do serve for two terms.” But that is Not True - wanted to run but poll numbers TANKED when I wouldn’t endorse him.....","Senator Bob Corker just stated that Im so priveledged to serve in the Senate for twelve years and thats what I told the people of our state thats what Id do serve for two terms But that is Not True  wanted to run but poll numbers TANKED when I wouldnt endorse him","","","senator bob corker  stated  im  priveledged  serve   senate  twelve years  thats   told  people   state thats  id  serve  two terms     true  wanted  run  poll numbers tanked   wouldnt endorse "
"55","We signed two pieces of major legislation this week Criminal Justice Reform and the Farm Bill. These are two Big Deals but all the Fake News Media wants to talk about is “the mistake” of bringing our young people back home from the Never Ending Wars. It all began 19 years ago!","We signed two pieces of major legislation this week Criminal Justice Reform and the Farm Bill These are two Big Deals but all the Fake News Media wants to talk about is the mistake of bringing our young people back home from the Never Ending Wars It all began  years ago","",""," signed two pieces  major legislation  week criminal justice reform   farm bill   two big deals    fake news media wants  talk    mistake  bringing  young people back home   never ending wars   began  years ago"
"56","Unthinkable devastation from the tsunami disaster in Indonesia. More than two hundred dead and nearly a thousand injured or unaccounted for. We are praying for recovery and healing. America is with you!","Unthinkable devastation from the tsunami disaster in Indonesia More than two hundred dead and nearly a thousand injured or unaccounted for We are praying for recovery and healing America is with you","","","unthinkable devastation   tsunami disaster  indonesia   two hundred dead  nearly  thousand injured  unaccounted    praying  recovery  healing america   "
"57","I just had a long and productive call with President @RT_Erdogan of Turkey. We discussed ISIS our mutual involvement in Syria &amp; the slow &amp; highly coordinated pullout of U.S. troops from the area. After many years they are coming home. We also discussed heavily expanded Trade.","I just had a long and productive call with President  of Turkey We discussed ISIS our mutual involvement in Syria amp the slow amp highly coordinated pullout of US troops from the area After many years they are coming home We also discussed heavily expanded Trade","","@RT_Erdogan","    long  productive call  president   turkey  discussed isis  mutual involvement  syria amp  slow amp highly coordinated pullout  us troops   area  many years   coming home  also discussed heavily expanded trade"
"58","I am pleased to announce that our very talented Deputy Secretary of Defense Patrick Shanahan will assume the title of Acting Secretary of Defense starting January 1 2019. Patrick has a long list of accomplishments while serving as Deputy &amp; previously Boeing. He will be great!","I am pleased to announce that our very talented Deputy Secretary of Defense Patrick Shanahan will assume the title of Acting Secretary of Defense starting January   Patrick has a long list of accomplishments while serving as Deputy amp previously Boeing He will be great","","","  pleased  announce    talented deputy secretary  defense patrick shanahan  assume  title  acting secretary  defense starting january   patrick   long list  accomplishments  serving  deputy amp previously boeing    great"
"59","The only way to stop drugs gangs human trafficking criminal elements and much else from coming into our Country is with a Wall or Barrier. Drones and all of the rest are wonderful and lots of fun but it is only a good old fashioned Wall that works!","The only way to stop drugs gangs human trafficking criminal elements and much else from coming into our Country is with a Wall or Barrier Drones and all of the rest are wonderful and lots of fun but it is only a good old fashioned Wall that works","","","  way  stop drugs gangs human trafficking criminal elements  much else  coming   country    wall  barrier drones     rest  wonderful  lots  fun      good old fashioned wall  works"
"60","When President Obama ingloriously fired Jim Mattis I gave him a second chance. Some thought I shouldn’t I thought I should. Interesting relationship-but I also gave all of the resources that he never really had. Allies are very important-but not when they take advantage of U.S.","When President Obama ingloriously fired Jim Mattis I gave him a second chance Some thought I shouldnt I thought I should Interesting relationshipbut I also gave all of the resources that he never really had Allies are very importantbut not when they take advantage of US","",""," president obama ingloriously fired jim mattis  gave   second chance  thought  shouldnt  thought   interesting relationshipbut  also gave    resources   never really  allies   importantbut    take advantage  us"
"61","If anybody but your favorite President Donald J. Trump announced that after decimating ISIS in Syria we were going to bring our troops back home (happy &amp; healthy) that person would be the most popular hero in America. With me hit hard instead by the Fake News Media. Crazy!","If anybody but your favorite President Donald J Trump announced that after decimating ISIS in Syria we were going to bring our troops back home happy amp healthy that person would be the most popular hero in America With me hit hard instead by the Fake News Media Crazy","",""," anybody   favorite president donald j trump announced   decimating isis  syria   going  bring  troops back home happy amp healthy  person would    popular hero  america   hit hard instead   fake news media crazy"
"62","Brett McGurk who I do not know was appointed by President Obama in 2015. Was supposed to leave in February but he just resigned prior to leaving. Grandstander? The Fake News is making such a big deal about this nothing event!","Brett McGurk who I do not know was appointed by President Obama in  Was supposed to leave in February but he just resigned prior to leaving Grandstander The Fake News is making such a big deal about this nothing event","","","brett mcgurk     know  appointed  president obama    supposed  leave  february    resigned prior  leaving grandstander  fake news  making   big deal   nothing event"
"63","I will not be going to Florida because of the Shutdown - Staying in the White House!  #MAGA","I will not be going to Florida because of the Shutdown  Staying in the White House  ","#MAGA","","    going  florida    shutdown  staying   white house  "
"64","Senate adjourns until December 27th.","Senate adjourns until December th","","","senate adjourns  december th"
